"Created At","Part","Fabricated","Supplier","Alt Parts","Part Description","Order Detail ID","Order Item ID","Cycle No","Cycle","Second Reference No","External Order Reference No","Source Warehouse","Destination Group","Destination","Inventory Location","Order Detail Status","Pick Location","Pick Zone","Carrier","Picked LPN","Stage Location","Pick Stage Location","Parent Container","Source Container","Parent Serial/VIN","To Location","Total Ordered Quantity","Order Item Quantity","Picked Quantity","Shipment #","LP Shipment No","Ship Sequence","Trailer No","Unit","Pick Unit","Detail Reference No","Deliver To","Deliver To Storage Area","Deliver To Zone","Order System","Receiving Dock","Customer Pickup","Is Hot Call","Is Flagged","HotCall Created At","HotCall Updated At","HotCall Created By","Flagged Created At","Created By","Pick Started At","Pick Completed At","Picked By","Customer Order #","Stage Started At","Stage Completed At","Staged By","Load Started At","Loaded At","Loaded By","Closed At","Closed By","Pallet Closed At","Unload Started At","Unloaded At","Unloaded By","Drop Started At","Dropped At","Dropped By","Canceled At","Canceled By","Sorted At","Sorted By","Updated At","Updated By","Updated By Process","Comment","Cost Center","Is Issue To Cost Center","Internal Project Name","Pallet Sequence","Reason","Order Item Status","Header Reference No","Order Header ID","Order Header Status","Crew Name","Crew Email","Slot","Sequence","Process Sequence","Process Name","Exception Status","Exception Type","Trailer Pick Item","Release Time","Expected Release Time","Ship By Date","Pull Ahead Date","Expected At Destination","Pick By","Shipped At","Allocated At","Task Created At","Task Assigned At","At Outfeed At","Dolly","Warp Source Type","Expected LP","Option Code","Batch No","FO Shipment ID","Part Group","Destination Entity Group","Ship To","Pack Completed At","Packed By","Pick Type","MHE Pick Type","Ship Mode","Request Type","Vehicle Off Road","Will Call","Hazardous","Original Part","Order No","Pack Slip","Released At","Released By","Customer Line Number","Generated By","Buyer PO Number","FO Shipment Number","Cage Container","Is Milk Run","Batch ID","Is Single Line","Bulk Pick","Payment Status","Pick Flow","Pick Assigned To","Header Second Reference No","Pack Type","Cross Dock","Final Destination","Linked FO Number","Linked FO Line Number","Linked FO Shipment Number","Bin Name","Is Shipment Created","Replen Order ID","FO Order ID (allocated by replen)","Service Level","Service Level Group","Cut-Off At","Address Country Code","Identity Number","Identity Type"
"01/30/2026  4:59:56 PM","1632802-99-F","false","EXTERNALWH",,"ASM, MX AP4 RVM UPPER CVR TRIPLE CAM","13229707	",,,,"88605407	",,"3694	","4081S3694","4081S3694-3000S91715",,"New",,,,,,,,,"7SAXCBE63NF333593",,"1",,,,,"0",,"EA","EA","88605407	","US-FL-Wesley Chapel-4980 Eagleston Blvd",,,"FO","","false","true","false",,,,,"equipment-warp",,,,"7517035401	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:59:56 PM","equipment-warp",,,,"false","",,,,"FO-1224993350_20260130215953","7007133","New",,,"0",,,"Box-Pick",,,,,,"01/30/2026","","01/29/2026  7:00:00 PM","01/31/2026  4:59:56 PM",,,,,,,,,,,,"NB-VNA-RACK-MED","NB-RDC-NON MILK RUN","US-FL-Wesley Chapel-4980 Eagleston Blvd",,,,,"Ground","Service","true","false","false","1632802-99-F","",,,,"88605407	","pedrodriguez","",,,"false",,"false","false",,,,"SV027C0393",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:53:02 PM","1137375-01-K","true","EXTERNALWH",,"ASY,HVBAT,75kWh,AWD,KELVIN,1PH,M3,RMN","13229694	",,,,"88605388	",,"3694	","4081S3694","4081S3694-4081S36105",,"New",,,,,,,,,"5YJ3E1EB9KF442052",,"1",,,,,"0",,"EA","EA","88605388	","Parts Distribution Center Greenville",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"7517031710	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:53:02 PM","equipment-warp",,,,"false","",,,,"FO-1934444033_20260130215258","7007124","New",,,"0",,,"Box-Pick",,,,,,"02/12/2026","","02/12/2026  7:00:00 PM","02/11/2026  7:00:00 PM",,,,,,,,"TG118250000QQM",,,,"NB-HVBATTERY-REMAN","NB-GDC-DOMESTIC","Parts Distribution Center Greenville",,,,,"Ground","Service","false","false","true","1104422-00-M","",,,,"88605388	","karcher","",,,"true",,"false","false",,,,"SV027EA5D8",,"true","5791	",,,,,"false","false","false",,,,"US",,
"01/30/2026  4:52:10 PM","1234422-01-B","true","EXTERNALWH",,"ASY,HVBAT,E3,AWD,1PH,M3Y","13229691	",,,,"88605385	",,"3694	","4081S3694","4081S3694-SDEV",,"New",,,,,,,,,"5YJYGDEE2MF187372",,"1",,,,,"0",,"EA","EA","88605385	","NA-US-PA-Devon",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"7517029059	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:52:10 PM","equipment-warp",,,,"false","",,,,"FO-150503914_20260130215208","7007121","New",,,"0",,,"Box-Pick",,,,,,"02/12/2026","","02/12/2026  7:00:00 PM","02/11/2026  7:00:00 PM",,,,,,,,,,,,"NB-HVBATTERY-REMAN","NB MILKRUN 5","NA-US-PA-DEVON",,,,,"Ground","Service","false","false","true","1104422-00-T","",,,,"88605385	","esnyder","",,,"true",,"false","false",,,,"SV027E901F",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:48:37 PM","1107679-01-H","true","EXTERNALWH",,"ASY,HV BATT,100KWH,RMN,SX","13229662	",,,,"88605348	",,"3694	","4081S3694","4081S3694-3500S91423",,"New",,,,,,,,,"5YJXCBE41MF324191",,"1",,,,,"0",,"EA","EA","88605348	","CA-ON-Hamilton-999 Upper Wentworth St",,,"FO","","false","true","false",,,,,"equipment-warp",,,,"7517034945	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:48:37 PM","equipment-warp",,,,"false","",,,,"FO-1632656638_20260130214833","7007092","New",,,"0",,,"Box-Pick",,,,,,"01/30/2026","","01/29/2026  7:00:00 PM","01/31/2026  4:48:37 PM",,,,,,,,"T20J0405085R1",,,,"NB-HVBATTERY-REMAN","NB-RDC-INTERNATIONAL","CA-ON-Hamilton-999 Upper Wentworth St",,,,,"Ground","Service","true","false","true","1086755-00-H","",,,,"88605348	","galejandro","",,,"false",,"false","false",,,,"SV027DFF08",,"false",,,,,,"false","false","false",,,,"CA",,
"01/30/2026  4:47:08 PM","2083747-00-C","true","EXTERNALWH",,"ASY,HVBAT,E3,40P,RWD,1PH,M3Y","13229659	",,,,"88605345	",,"3694	","4081S3694","4081S3694-3500S3261",,"New",,,,,,,,,"5YJ3E1EA8MF988786",,"1",,,,,"0",,"EA","EA","88605345	","CA-QC-Saint-Bruno-de-Montarville-1155 Boulevard des Promenades",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"7517035220	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:47:08 PM","equipment-warp",,,,"false","",,,,"FO-693342039_20260130214706","7007089","New",,,"0",,,"Box-Pick",,,,,,"01/30/2026","","02/02/2026  7:00:00 PM","01/31/2026  4:47:08 PM",,,,,,,,,,,,"NB-HVBATTERY-PROD","NB-RDC-INTERNATIONAL","NA-CA-QC-Saint-Bruno-Promenades St Bruno",,,,,"Ground","Service","false","false","true","1104428-00-T","",,,,"88605345	","jtesta","",,,"false",,"false","false",,,,"SV027EA3F4",,"false",,,,,,"false","false","false",,,,"CA",,
"01/30/2026  4:44:59 PM","1234422-01-B","true","EXTERNALWH",,"ASY,HVBAT,E3,AWD,1PH,M3Y","13229653	","16953014	",,,"88605325	",,"3694	","4081S3694","4081S3694-3000S91483",,"Pick Released","NB405-149-10","NB-PICK-HVBATTERY,NB-PICK-HVBATTERY",,,,,,,"5YJ3E1EB4MF979883",,"1","1","0",,,"0",,"EA","EA","88605325	","US-NJ-Englewood-45 Cedar Ln",,,"FO","","false","true","false",,,,,"equipment-warp",,,,"7517033080	",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:48:39 PM","equipment-scheduler",,,,"false","","0	",,"Pick Released","FO-2045315818_20260130214457","7007083","Pick Released",,,"0",,,"Box-Pick",,,"88605325	","01/30/2026  4:48:39 PM",,"01/30/2026","","01/29/2026  7:00:00 PM","01/31/2026  4:44:59 PM",,"01/30/2026  4:48:39 PM",,,,,,,,,,"NB-HVBATTERY-REMAN","NB MILKRUN 33","US-NJ-ENGLEWOOD-45 CEDAR LN",,,"Pallet",,"Ground","Service","true","false","true","1104422-00-T","",,"01/30/2026  4:46:00 PM","equipment-scheduler","88605325	","dkalmanowitz","",,,"true","224007	","false","false",,,,"SV027E8FDA",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:39 PM","3488226-00-A","false","EXTERNALWH",,"WHEEL, 21X9.5J ET40, UBERTURBINE","13229055	","16953012	",,,"88604381	",,"3694	","4081S3694","4081S3694-3000S91057",,"Pick Completed","NB406-178-10","NB-PICK-FLOOR-BULK-ALL,NB-PICK-GDCHR,NB-PICK-FLOOR-BULK-ALL,NB-PICK-GDCHR",,"NBP0003052036",,,"NBT0000976732",,"7SAYGDEF0NF550961",,"1","1","1",,,"0",,"EA","EA","88604381	","Tesla Service Westbury",,,"FO","","false","false","false",,,,,"equipment-warp","01/30/2026  4:57:21 PM","01/30/2026  4:57:41 PM","mwinnie","7517032996	",,,,,,,"01/30/2026  4:57:41 PM","mwinnie","01/30/2026  4:57:41 PM",,,,,,,,,,,"01/30/2026  4:57:41 PM","mwinnie",,,,"false","","0	",,"Pick Completed","FO-193496331_20260130213137","7006700","Pick Completed",,,"0",,,"Box-Pick",,,"88604381	","01/30/2026  4:48:35 PM",,"01/30/2026","","01/29/2026  7:00:00 PM","01/31/2026  4:32:39 PM",,"01/30/2026  4:48:35 PM",,,,,,,,,,"NB-WHEELS","NB MILKRUN 31","TESLA SERVICE WESTBURY",,,"Tote",,"Ground","Service","false","false","false","1188226-00-B","",,"01/30/2026  4:45:00 PM","equipment-scheduler","88604381	","erpapp","",,,"true","224004	","false","false",,"Fast Track","mwinnie","SV027EBEEE",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","2097851-00-A","false","EXTERNALWH",,"Tesla Projection Lights, FR, M3","13228862	",,,,"88604374	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604374	","David  Seif",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-RMT6KE4FRF-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-1400352103_20260130213137","7006586","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","2097851-00-A","",,,,"88604374	","erpapp","",,,"false",,"false","false","NEW",,,"COM-RMT6KE4FRF-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1977818-00-A","false","EXTERNALWH",,"TRAY, CONSOLE, BUNDLE, M3","13228861	",,,,"88604373	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604373	","David  Seif",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-RMT6KE4FRF-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-1400352103_20260130213137","7006586","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1977818-00-A","",,,,"88604373	","erpapp","",,,"false",,"false","false","NEW",,,"COM-RMT6KE4FRF-1",,"false",,,,,,"false","false","false",,,,"US",,
"01/30/2026  4:32:18 PM","1734411-52-G","false","EXTERNALWH",,"UNIVERSAL WC, TESLA, NA, PACKAGED, 24FT","13228840	",,,,"88604378	",,"3694	","4081S3694-ECOM","4081S3694-ECOM",,"New",,,,,,,,,"",,"1",,,,,"0",,"EA","EA","88604378	","Nicholas  Boren",,,"FO","","false","false","false",,,,,"equipment-warp",,,,"COM-BESUV5U7CH-1",,,,,,,,,,,,,,,,,,,,"01/30/2026  4:32:18 PM","equipment-warp",,,,"false","",,,,"FO-896458471_20260130213137","7006576","New",,,"0",,,"Box-Pick",,,,,,"01/31/2026","","01/31/2026  7:00:00 PM","01/31/2026  4:32:18 PM",,,,,,,,,,,,"NB-ECOM-FLOOR","NB-RDC-ECOM",,,,,,"Ground","AccessoriesDirect","false","false","false","1734411-02-E","",,,,"88604378	","erpapp","",,,"false",,"false","true","NEW",,,"COM-BESUV5U7CH-1",,"false",,,,,,"false","false","false",,,,"US",,
